Date,Price,Open,High,Low
2023-07-30,23.716,24.488,24.983,23.275
2023-08-06,22.743,23.72,23.775,22.61
2023-08-13,22.733,22.745,23.067,22.273
2023-08-20,24.234,22.795,24.44,22.71
2023-08-27,24.562,24.62,25.425,24.45
2023-09-03,23.174,24.565,24.655,23.13
2023-09-10,23.386,23.195,23.585,22.555
2023-09-17,23.844,23.32,24.05,23.06
2023-09-24,22.45,23.81,23.925,22.325
2023-10-01,21.723,22.41,22.41,20.85
2023-10-08,22.895,21.94,22.99,21.705
2023-10-15,23.504,22.91,23.88,22.535
2023-10-22,22.887,23.505,23.505,22.565
2023-10-29,22.953,23.18,23.747,22.907
